id,genres,vote_average,vote_count,name,developer,publisher
1,Action|,1.0,6790,Blood of the Werewolf,Scientifically Proven,Scientifically Proven
2,Action|Puzzle|Simulation|Strategy|Casual|,1.9,9834,MechDefender,Atomic Fabrik|Cristian Manolachi,Atomic Fabrik|Cristian Manolachi
3,Action|2D|Adventure|Puzzle|,0.8,8270,Song of the Deep,Insomniac Games,Insomniac Games
4,Action|Fantasy|Strategy|,0.7,9327,Battle Realms: Zen Edition,Ed Del Castillo,Ed Del Castillo
5,Action|2D|Adventure|Strategy|Casual|Arcade|Atmospheric|,2.4,2633,Hit Tank PRO,Bacq Stellan,Bacq Stellan
6,Story Rich|,4.3,5675,Cibele,Star Maid Games,Star Maid Games
7,Adventure|RPG|Fantasy|Strategy|,0.7,593,The Fall of the Dungeon Guardians - Enhanced Edition,Mana Games,Mana Games
8,Action|Casual|,0.4,8817,Unlimited Fight,Erasmo Cândido Mutemba|Dilto João Banze|Osvaldo Dos Santos Cândido Mutemba,Erasmo Cândido Mutemba|Dilto João Banze|Osvaldo Dos Santos Cândido Mutemba
9,2D|Adventure|Puzzle|Story Rich|,4.5,3223,These Nights Alone,ryArt,ryArt
10,Action|Adventure|Simulation|Strategy|Atmospheric|,3.2,2280,The Pirate: Caribbean Hunt,Home Net Games,Home Net Games
11,Action|Puzzle|Horror|FPS|Atmospheric|,3.3,3982,Out of Oblivion,Writegg,Writegg
12,2D|Puzzle|Adventure|Horror|Story Rich|Atmospheric|,0.4,4307,Lightless,Bahman Aminipour,Bahman Aminipour
13,Action|Simulation|FPS|RPG|Strategy|Casual|,3.6,6564,Sub Rosa,Cryptic Sea,Cryptic Sea
14,Strategy|Casual|,3.4,5236,Othello,BlueLine Games,BlueLine Games
15,Action|Sci-fi|Horror|FPS|,3.2,5692,DOOM II,id Software,id Software
16,2D|Puzzle|Simulation|Colorful|Casual|Atmospheric|,0.4,2050,Pleasure Puzzle:Portrait ,冷笑黑妖,冷笑黑妖
17,Simulation|RPG|Casual|,0.9,7102,Swarm Simulator: Evolution,Scary Bee LLC,Scary Bee LLC
18,Casual|Arcade|,4.8,5742,Gun Done,AZAMATIKA,AZAMATIKA
19,Action|2D|Adventure|RPG|Fantasy|Story Rich|,4.8,4636,The Chosen RPG,Little Big Lee,Little Big Lee
20,Action|Puzzle|Adventure|Colorful|FPS|,5.0,2259,Supraland,Supra Games,Supra Games
21,Action|Adventure|Simulation|FPS|RPG|Casual|,0.1,3429,Zombie Town VR,B.H.C.M. Studio,B.H.C.M. Studio
22,2D|Adventure|Puzzle|Story Rich|Casual|Atmospheric|,4.8,4273,Nancy Drew: Trail of the Twister,HeR Interactive,HeR Interactive
23,Adventure|Simulation|Story Rich|RPG|,4.1,7651,,Pingfang Games,Pingfang Games
24,Action|Sci-fi|Horror|FPS|Atmospheric|,1.1,2136,QUAKE II,id Software,id Software
25,RPG|Casual|,2.1,3859,Ragnarok Journey,Youren,Youren
26,Action|Adventure|Strategy|,2.7,3658,Planet R-12,Timushev Vladimir|Composer-Motorin Dmitry (Djinotan),Timushev Vladimir|Composer-Motorin Dmitry (Djinotan)
27,Adventure|Simulation|RPG|,2.6,4952,Our Love Will Grow,John Wizard,John Wizard
28,Puzzle|Colorful|Casual|Arcade|Atmospheric|,0.8,2419,Jet Car Stunts,GRIP Digital s.r.o.,GRIP Digital s.r.o.
29,Simulation|Strategy|Casual|,3.2,6152,Little Big Workshop,Mirage Game Studios,Mirage Game Studios
30,Action|Adventure|,4.8,6441,Doug and Lily,the_dobrokot,the_dobrokot
31,Action|,4.7,4691,UNDEFEATED,UNDEFEATED Games,UNDEFEATED Games
32,Adventure|Casual|,1.7,3543,Treasures of the Ancients: Egypt,Garage Games|Jan Hess,Garage Games|Jan Hess
